86	12950
86	12970
86	12971
86	12972
86	13048
85	12970
85	12950
85	12971
85	12972
85	13048
84	12862
84	12972
84	13303
84	6037
84	13048
83	12971
83	12950
83	12972
83	13048
83	6037
82	12970
82	12971
82	12972
82	13048
82	6037
81	3265
81	3263
81	3300
81	13048
81	6037
80	13048
80	3263
80	3265
80	3300
80	6037
79	3265
79	3263
79	3300
79	13048
79	6037
78	12969
78	12970
78	12971
78	12972
78	13048
77	12950
77	12970
77	12971
77	12972
77	13048
76	5226
76	5234
76	5204
76	5219
76	5203
75	5226
75	5324
75	5204
75	5219
75	5203
74	5362
74	5324
74	5219
74	5203
74	5520
73	5521
73	145
73	5519
73	5518
73	5520
72	142
72	143
72	144
72	145
72	5520
71	170
71	166
71	169
71	168
71	167
70	170
70	166
70	169
70	168
70	167
69	170
69	166
69	169
69	168
69	167
68	168
68	166
68	170
68	171
68	172
67	43
67	44
67	171
67	41
67	172
66	41
66	39
66	43
66	42
66	44
65	43
65	39
65	44
65	42
65	40
64	43
64	39
64	44
64	42
64	40
63	43
63	39
63	44
63	42
63	40
62	43
62	39
62	44
62	42
62	40
61	115
61	27
61	42
61	40
61	10517
60	42
60	27
60	115
60	40
60	10517
59	12676
59	12661
59	12665
59	12667
59	12666
58	4191
58	4194
58	4193
58	4192
58	12639
57	13032
57	13005
57	13004
57	12634
57	13006
56	13016
56	13041
56	13008
56	13047
56	13002
55	13258
55	13000
55	13007
55	12999
55	12595
54	13324
54	13328
54	13317
54	13318
54	13319
53	13424
53	13430
53	13428
53	13429
53	13320
52	13410
52	13429
52	13427
52	13428
52	13430
51	12991
51	12857
51	12874
51	12858
51	12875
50	12874
50	12833
50	12873
50	12765
50	12759
49	5919
49	12760
49	12761
49	12759
49	12765
48	5880
48	5917
48	5878
48	5915
48	5919
47	5943
47	5961
47	6030
47	5947
47	5930
46	13334
46	12637
46	13316
46	12636
46	12635
45	13325
45	13334
45	13316
45	12636
45	12635
44	13356
44	13996
44	13354
44	13355
44	13995
43	14002
43	13356
43	13995
43	13354
43	13355
42	13281
42	13129
42	13275
42	13280
42	13274
41	13850
41	13849
41	13825
41	13827
41	13826
40	14062
40	13888
40	14010
40	14059
40	13836
39	13867
39	14098
39	13894
39	14055
39	13840
38	7088
38	7087
38	7091
38	7093
38	7092
37	8379
37	8423
37	8419
37	8418
37	8417
36	5168
36	5167
36	5136
36	5131
36	5142
35	4514
35	4526
35	4528
35	4527
35	4502
34	4852
34	4853
34	4870
34	4871
34	4872
33	6291
33	6309
33	6265
33	6266
33	6267
32	6137
32	6143
32	6141
32	6238
32	6142
31	6613
31	6550
31	6554
31	5478
31	6288
30	5494
30	5495
30	5581
30	5582
30	5478
29	5487
29	5496
29	5494
29	5581
29	5582
28	5485
28	5486
28	5487
28	5496
28	5494
27	5361
27	5363
27	5355
27	5353
27	5352
26	7106
26	7102
26	7108
26	7103
26	7107
25	14289
25	14274
25	14273
25	14280
25	14304
24	14301
24	14287
24	14283
24	14275
24	14278
23	14272
23	14268
23	14270
23	14271
23	14269
22	13476
22	13478
22	13434
22	14268
22	14267
21	5489
21	5484
21	5492
21	5494
21	5496
20	5496
20	13476
20	13478
20	13434
20	14267
19	13476
19	13478
19	14268
19	13434
19	14267
18	13434
18	13476
18	13478
18	14267
18	14268
17	14269
17	14271
17	14268
17	14264
17	14270
16	92
16	37
16	105
16	106
16	36
15	97
15	45
15	103
15	119
15	23
14	2179
14	2257
14	2258
14	2251
14	2243
13	2258
13	2104
13	2178
13	2200
13	2203
12	14252
12	13478
12	13476
12	14263
12	14264
11	346
11	3669
11	1746
11	345
11	3678
10	1737
10	346
10	1747
10	1746
10	345
9	347
9	1749
9	348
9	1739
9	338
8	3675
8	1745
8	344
8	1740
8	339
7	3675
7	341
7	1742
7	10787
7	1058
6	2194
6	2178
6	2104
6	2200
6	2203
5	1635
5	1653
5	1733
5	8649
5	1654
4	9973
4	9938
4	9971
4	9972
4	9983
3	9907
3	9897
3	9900
3	9931
3	9105
2	10711
2	10546
2	522
2	1161
2	10454
1	11153
1	11481
1	11748
1	11226
1	1081
